Z_Crudo,Z_Filtrado,D_Kalman
0.04918475546500721,0.04975542663950216,0.04918516247675708
0.049127160305806716,0.049566946739393526,0.04872320542981289
0.0491868478291927,0.04945291706633327,0.04861690644636817
0.049205764104854346,0.049378771177889594,0.04863422689230913
0.04922604668466774,0.04933295382992304,0.0486190388675175
0.04916873934597161,0.04928368948473761,0.048573003472356005
0.049187634781689894,0.049254873073823285,0.04857449976909184
0.04926878133345283,0.04925904555171215,0.04863430402730743
0.049174097151892526,0.04923356103176626,0.048615510672042526
0.04917517652763952,0.04921604568052824,0.04857676938619257
0.04915668952399662,0.04919823883356875,0.04855285526396294
0.04916009519192391,0.04918679574107529,0.048548940616178406
0.049135747928668365,0.04917148139735321,0.04853006825573744
0.04916793152586409,0.04917041643590647,0.04858306722934919
0.049102720687923394,0.04915010771151154,0.04851503483591782
0.04910312309606254,0.04913601232687684,0.048497100194241964
0.049116507212218635,0.04913016079247937,0.04850209247452904
0.049130198193501395,0.04913017201278597,0.04854794842493839
0.04917371209651372,0.04914323403790429,0.048557594098625805
0.04915390318976792,0.04914643478346338,0.04854567752292048
0.0491201989306255,0.04913856402761201,0.04851781125595997
0.049174253417210746,0.049149270844491624,0.048549915142789286
0.04918157479379243,0.04915896202928187,0.04859837275201182
0.04918185490338747,0.049165829891513545,0.048577066204691814
0.049173557961726226,0.04916814831257735,0.04856528334970046
0.049154525815973654,0.04916406156359624,0.04854819364555305
0.04911486565761439,0.049149302791801686,0.048514581222172656
0.04920443001881935,0.049165840959906976,0.04860563624245529
0.04917555944351946,0.04916875650499072,0.04857440385460998
0.049172631174487655,0.0491699189058398,0.048563891519799625
0.04916837992768132,0.04916945721239225,0.04855796261951887
0.04911788358566945,0.04915398512437541,0.048519408087527575
0.049211941303518116,0.04917137197811822,0.04861242823915873
0.04912526774366998,0.04915754070778375,0.04853940768515284
0.04918223045735829,0.04916494763265611,0.04856154148723293
0.049156907967393554,0.04916253573307734,0.04854893487239738
0.04919354195271601,0.04917183759896894,0.04857237487867267
0.049164410597565524,0.049169609498547914,0.04859182575639481
0.04915572718245309,0.04916544480371946,0.04855618512329344
0.04912296059617718,0.04915269954145677,0.04852264843849164
0.04914458032827001,0.049150263777500744,0.04852948905322016
0.04914769658233131,0.049149493618949915,0.04853360324671457
0.049163212161332244,0.04915360918166461,0.04858055961271001
0.04915952990827566,0.04915538539964792,0.048555950157700666
0.04917163912634143,0.04916026151765597,0.04855822063696882
0.04915528939187503,0.04915876987992169,0.04854686017373548
0.04911999654484081,0.04914713787939742,0.04855247576864724
0.049111170229006296,0.049136347584280086,0.04851302337210077
0.049158929979313426,0.04914312230279008,0.048537414698088296
0.04912250125135409,0.049136935987359284,0.048517282654467635
0.04912541140423321,0.049133478612421455,0.0485140186694028
0.04917321069156903,0.049145398236165726,0.04858263137316956
0.04918032516173951,0.04915587631383786,0.04857172846633452
0.04907835793521047,0.04913262080024964,0.048494161850726775
0.04919975605166318,0.0491527613756737,0.04856224752790161
0.04914944366795527,0.049151766063358165,0.04854365980899264
0.04914174363439405,0.04914875933466893,0.048567538207968636
0.0491704007076308,0.04915525174655749,0.04856041906026274
0.049161625405846385,0.04915716384434416,0.048552087523626206
0.0491812936721926,0.04916440279269869,0.04856425326537497
0.049161984002685746,0.0491636771556948,0.048553377406895484
0.04912506492218407,0.049152093485641576,0.04855793236573654
0.04915519659893136,0.04915302441962851,0.04854671500254224
0.049152481764592935,0.049152861623117834,0.04854172192246326
0.04915982737436174,0.049154951348491,0.04854576139025169
0.04911053081088412,0.04914162518720894,0.048510756173279296
0.04913966479683337,0.04914103707009626,0.048557199890636095
0.04920538977574126,0.049160342881789755,0.04858326269204873
0.04912526295852055,0.04914981890480899,0.0485315892973854
0.04913140296291217,0.04914429412223994,0.04852223824818855
0.04917046466353006,0.049152145284626976,0.048548327791590205
